markdown_file,line_number,section_context_snippet,chosen_image_rel_url,similarity_score
dashboards/k8_cluster_infrastructure_dashboard.md,614,RBAC and audit logs should be monitored when ephemeral containers are used. ```bash sum(kubelet_managed_ephemeral_contai...,/products/data_product/observability/dashboards/entities/entities_home_dashboards_infrastructure_cluster_entities_dup.png,0.6112
dashboards/k8_cluster_infrastructure_dashboard.md,640,This Prometheus query uses the histogram_quantile function to calculate the 99th percentile (0.99) of scheduler latency ...,/products/data_product/observability/dashboards/infra/infra_kubernetes_scheduler_latency_1sms_sses.png,0.6139
dashboards/k8_cluster_infrastructure_dashboard.md,763,"> `predict_linear` predicts future value based on historical trend. The [6h] window can vary. > In the current state, no...",,0.5860
dashboards/k8_cluster_infrastructure_dashboard.md,792,- The writing rates are moderate. - Volume sizing strategies are currently sufficient. - No immediate scale-up or cleanu...,,0.5398
dashboards/k8_cluster_infrastructure_dashboard.md,821,- Imminent risk of application disruption - Lack of automated volume expansion - Inefficient data cleanup policies The d...,,0.5839
dashboards/k8_cluster_infrastructure_dashboard.md,849,- Insufficient available storage classes - Misconfigured storage policies - Cluster storage pressure or provisioning fai...,,0.5485
dashboards/k8_cluster_infrastructure_dashboard.md,865,``` A lost PVC cannot be recovered or remounted and typically results in application data loss. With `0` lost PVCs repor...,/products/data_product/observability/dashboards/infra/infra_pvcs_lost_state.png,0.6279
dashboards/k8_cluster_infrastructure_dashboard.md,890,This is a deviation from expected behavior and should be triaged by inspecting: - Finalizer logs (`kubectl get pv -o yam...,,0.5245
dashboards/k8_cluster_infrastructure_dashboard.md,910,```bash kubelet_volume_stats_used_bytes / kubelet_volume_stats_capacity_bytes * 100 ``` --- # Certificates Monitors cert...,,0.5339
dashboards/k8_cluster_infrastructure_dashboard.md,916,"# Certificates Monitors certificates (e.g., kubelet client certs, admission webhooks, TLS secrets) for expiry. ![image.p...",/products/data_product/observability/dashboards/infra/infra_certificates_time_left_httpsproaliendataosapp_httpsproaliendataosapp.png,0.6184
dashboards/k8_cluster_infrastructure_dashboard.md,922,## Time Left This panel shows how much time remains before certificates expire in the cluster. It helps track certificat...,/products/data_product/observability/dashboards/infra/infra_certificates_time_left_httpsproaliendataosapp_httpsproaliendataosapp.png,0.7449
dashboards/k8_cluster_infrastructure_dashboard.md,936,``` This PromQL query identifies certificates that have already expired in the Kubernetes cluster. It works by calculati...,,0.5343
dashboards/k8_cluster_infrastructure_dashboard.md,952,"``` This PromQL query identifies certificates that will expire within the next 7 days (604,800 seconds). It first calcul...",,0.5121
dashboards/k8_cluster_infrastructure_dashboard.md,976,"--- ## Certificate Signing Requests Denied This tracks CSRs that were explicitly denied, often due to: - Failed validati...",,0.5804
dashboards/k8_cluster_infrastructure_dashboard.md,992,``` This PromQL query counts the number of Certificate Signing Requests (CSRs) in the Kubernetes cluster that have been ...,,0.4663
dashboards/k8_cluster_infrastructure_dashboard.md,1008,``` This PromQL query counts the number of Certificate Signing Requests (CSRs) in the Kubernetes cluster that are curren...,,0.5656
dashboards/k8_cluster_infrastructure_dashboard.md,1024,``` This PromQL query `count(kube_certmanager_certificate_ready)` counts the total number of certificates managed by cer...,,0.5882
dashboards/k8_cluster_infrastructure_dashboard.md,1030,"# Workloads Breakdown Aims to break down Kubernetes controllers by health, to aid in pinpointing deployment or scaling i...",,0.5625
dashboards/k8_cluster_infrastructure_dashboard.md,1067,``` This PromQL query categorizes Kubernetes deployments into four status types using a series of logical conditions and...,,0.5921
dashboards/k8_cluster_infrastructure_dashboard.md,1107,``` This PromQL query categorizes Kubernetes StatefulSets into four distinct operational statuses by evaluating their re...,/products/data_product/observability/dashboards/entities/entities_home_dashboards_infrastructure_cluster_entities_dup.png,0.6465
dashboards/k8_cluster_infrastructure_dashboard.md,1147,``` This PromQL query categorizes Kubernetes DaemonSets into four operational statuses using a series of logical conditi...,/products/data_product/observability/dashboards/entities/entities_home_dashboards_infrastructure_cluster_entities_dup.png,0.6236
dashboards/k8_cluster_infrastructure_dashboard.md,1191,--- # Kubernetes Secrets This section helps maintain visibility into sensitive configuration data. ## Kubernetes Secrets...,/products/data_product/observability/dashboards/infra/infra_secrets_kubernetes_secrets_count.png,0.8282
dashboards/k8_cluster_infrastructure_dashboard.md,1213,``` This PromQL query `count(kube_secret_info)` simply counts the total number of Kubernetes Secrets currently stored in...,/products/data_product/observability/dashboards/infra/infra_secrets_kubernetes_secrets_count.png,0.7000
dashboards/k8_cluster_entities_dashboard.md,17,"## Overview The K8 Cluster Entities dashboard offers detailed visibility into resource utilization across nodes, pods, a...",/products/data_product/observability/dashboards/entities/entities_home_dashboards_infrastructure_cluster_entities_dup.png,0.7105
dashboards/k8_cluster_entities_dashboard.md,29,- Node Resource Overview - Pod Resource Overview - Microservices (Container Name) Resources Overview ## Node Resource Ov...,/products/data_product/observability/dashboards/entities/entities_microservices_container_name_resource_statistics.png,0.7613
dashboards/k8_cluster_entities_dashboard.md,37,Microservices (Container Name) Resource Statistics © Namespace Container Name Pod Average CPU Usage% Total CPU Restri......,/products/data_product/observability/dashboards/entities/entities_microservices_container_name_resource_statistics.png,0.7559
dashboards/k8_cluster_entities_dashboard.md,507,"- **kube_pod_container_resource_requests**: The metric that tracks container resource requests - **resource=""memory""**: ...",/products/data_product/observability/dashboards/entities/entities_home_dashboards_infrastructure_cluster_entities_dup.png,0.6641
dashboards/k8_cluster_entities_dashboard.md,513,These final columns contextualize node usage by environment (`env`) and dominant workload ownership (`namespace`). In mu...,/products/data_product/observability/dashboards/entities/entities_home_dashboards_infrastructure_cluster_entities_dup.png,0.6871
dashboards/k8_cluster_entities_dashboard.md,545,"```bash sum(kube_pod_container_resource_limits{origin_prometheus=~"""",resource=""memory"", unit=""byte"",node=~""^.*$""}) / sum...",/products/data_product/observability/dashboards/entities/entities_containers_utilization_maximum100associable_nodes_1205.png,0.7106
dashboards/k8_cluster_entities_dashboard.md,565,"```bash sum(kube_node_status_allocatable{origin_prometheus=~"""",resource=""cpu"", unit=""core"", node=~""^.*$""}) ``` This Prom...",/products/data_product/observability/cpu/cluster/cluster_bgclusterss0_runtime_node_details_runtime.png,0.6321
dashboards/k8_cluster_entities_dashboard.md,585,"```bash sum (container_fs_usage_bytes{origin_prometheus=~"""",device=~""^/dev/.*$"",id=""/"",node=~""^.*$""}) / sum (container_f...",/products/data_product/observability/dashboards/entities/entities_node_storage_information_4tib_5177.png,0.6383
dashboards/k8_cluster_entities_dashboard.md,605,"```bash sum(kube_node_status_allocatable{origin_prometheus=~"""",resource=""memory"", unit=""byte"", node=~""^.*$""}) ``` This P...",/products/data_product/observability/cpu/cluster/cluster_bgclusterss0_runtime_node_details_runtime.png,0.6393
dashboards/k8_cluster_entities_dashboard.md,624,"```bash sum (irate(container_cpu_usage_seconds_total{origin_prometheus=~"""",container!="""",node=~""^.*$""}[2m])) / sum(kube_...",/products/data_product/observability/dashboards/entities/entities_containers_utilization_maximum100associable_nodes_1205.png,0.6973
dashboards/k8_cluster_entities_dashboard.md,644,"```bash sum(kube_node_status_allocatable{origin_prometheus=~"""",resource=""pods"", unit=""integer"",node=~""^.*$""}) ``` This P...",/products/data_product/observability/dashboards/entities/entities_check_overall_cluster_count_1210.png,0.6487
dashboards/k8_cluster_entities_dashboard.md,670,"```bash sum (irate(container_network_transmit_bytes_total{origin_prometheus=~"""",node=~""^.*$"",namespace=~"".*""}[2m]))*8 ``...",,0.5864
dashboards/k8_cluster_entities_dashboard.md,708,This column displays the count of secret resources that hold sensitive data within the namespace. These are typically Ku...,/products/data_product/observability/dashboards/entities/entities_namespace_resource_statistics_spaces_microservices.png,0.7073
dashboards/k8_cluster_entities_dashboard.md,726,"sum(kube_node_status_allocatable{origin_prometheus=~"""", resource=""cpu"", unit=""core"", node=~""^.*$""}) by (node) * 100 ``` ...",/products/data_product/observability/dashboards/entities/entities_containers_utilization_maximum100associable_nodes_1205.png,0.6829
dashboards/k8_cluster_entities_dashboard.md,744,"sum(kube_node_status_allocatable{origin_prometheus=~"""", resource=""memory"", unit=""byte"", node=~""^.*$""}) by (node) * 100 `...",/products/data_product/observability/dashboards/entities/entities_home_dashboards_infrastructure_cluster_entities_dup.png,0.6373
dashboards/k8_cluster_entities_dashboard.md,760,"sum(kube_node_status_condition{condition=""DiskPressure"",status=""true""}) by (node, env) ``` This PromQL query calculates ...",/products/data_product/observability/dashboards/entities/entities_check_overall_cluster_node_health.png,0.6489
dashboards/k8_cluster_entities_dashboard.md,776,"max(kubelet_node_startup_duration_seconds) by (node, env) ``` This PromQL query calculates the maximum startup duration ...",/products/data_product/observability/cpu/depot/depot_queries_ally_graph_prometheus_split.png,0.6002
dashboards/k8_cluster_entities_dashboard.md,790,"``` avg(kubelet_image_pull_duration_seconds_sum{node=~""^.*$""}) by (image_size_in_bytes, node) ``` This PromQL query calc...",,0.5821
dashboards/k8_cluster_entities_dashboard.md,806,rate(node_network_receive_packets_total[5m]) ``` This PromQL query calculates the rate of network packets received by ea...,,0.5964
dashboards/k8_cluster_entities_dashboard.md,832,"sum(kube_node_status_condition{condition=""Ready"",status=""false""}) ``` This PromQL query calculates the total number of K...",/products/data_product/observability/dashboards/entities/entities_check_overall_cluster_node_health.png,0.7383
dashboards/k8_cluster_entities_dashboard.md,848,rate(kubelet_node_startup_duration_seconds[5m]) ``` This PromQL query calculates the rate of change in node startup dura...,,0.5796
dashboards/k8_cluster_entities_dashboard.md,866,rate(kubelet_node_startup_pre_registration_duration_seconds[5m]) ``` This PromQL query calculates the rate of change in ...,,0.5590
dashboards/k8_cluster_entities_dashboard.md,884,"kube_node_status_condition{condition=""MemoryPressure"",status=""true""} ``` This PromQL query (`kube_node_status_condition{...",/products/data_product/observability/dashboards/infra/infra_kubernetes_cluster_overview_taint_nodes.png,0.7387
dashboards/k8_cluster_entities_dashboard.md,890,The Pod Resource Overview section provides insights into individual pod behavior and resource utilization patterns acros...,/products/data_product/observability/dashboards/infra/infra_kubernetes_cluster_overview_taint_nodes.png,0.7510
dashboards/k8_cluster_entities_dashboard.md,906,"topk(10, sum by (pod) (rate(container_cpu_usage_seconds_total{container!=""POD"", container!=""""}[5m]))) ``` This calculate...",/products/data_product/observability/dashboards/entities/entities_containers_utilization_maximum100associable_nodes_1205.png,0.6817
dashboards/k8_cluster_entities_dashboard.md,922,"topk(10, sum by (pod) (container_memory_working_set_bytes{container!=""POD"", container!=""""})) ``` This sums the working s...",/products/data_product/observability/dashboards/entities/entities_containers_utilization_maximum100associable_nodes_1205.png,0.7196
dashboards/k8_cluster_entities_dashboard.md,938,"max(irate(container_cpu_usage_seconds_total{origin_prometheus=~"""",pod=~"".*"",container =~"".*"",container !="""",container!=""...",/products/data_product/observability/dashboards/entities/entities_containers_utilization_maximum100associable_nodes_1205.png,0.7191
dashboards/k8_cluster_entities_dashboard.md,967,"/ max(container_spec_cpu_quota{...}) by (container, pod) / 100000 * 100 ``` This computes the max rate of CPU usage divi...",/products/data_product/observability/dashboards/entities/entities_containers_utilization_maximum100associable_nodes_1205.png,0.7309
dashboards/k8_cluster_entities_dashboard.md,981,"``` sum(kube_pod_status_phase{phase=""Pending""}) ``` This PromQL query `sum(kube_pod_status_phase{phase=""Pending""})` calc...",/products/data_product/observability/dashboards/entities/entities_pending_count_1210_1215_1220.png,0.7660
dashboards/k8_cluster_entities_dashboard.md,997,max(max(irate(container_network_receive_bytes_total{...}[2m])) by (pod)) * 8 ``` This PromQL query calculates the maximu...,/products/data_product/observability/dashboards/entities/entities_network_bandwidth_second_associable_nodes.png,0.7295
dashboards/k8_cluster_entities_dashboard.md,1013,count(kube_pod_info) ``` This PromQL query `count(kube_pod_info)` counts the total number of active pods across the enti...,/products/data_product/observability/dashboards/entities/entities_check_overall_cluster_count_1210.png,0.8031
dashboards/k8_cluster_entities_dashboard.md,1029,sum(container_memory_working_set_bytes) by (namespace) / (1024 * 1024 * 1024) ``` This PromQL query calculates the total...,/products/data_product/observability/dashboards/entities/entities_microservices_container_name_resource_statistics.png,0.6906
dashboards/k8_cluster_entities_dashboard.md,1083,"sum(delta(kube_pod_container_status_restarts{namespace=~"".*""}[30m])) ``` This PromQL query calculates the total number o...",/products/data_product/observability/dashboards/entities/entities_check_overall_cluster_count_1210.png,0.6616
dashboards/k8_cluster_entities_dashboard.md,1167,") ``` This PromQL query sums up the memory resource requests for all containers across all namespaces, grouping the resu...",/products/data_product/observability/dashboards/entities/entities_microservices_container_name_overall_memory.png,0.6743
dashboards/k8_cluster_entities_dashboard.md,1185,"sum(container_spec_cpu_quota{origin_prometheus=~"".*"", container=~"".*"", container!="""", container!=""POD"", namespace=~"".*""}...",/products/data_product/observability/dashboards/entities/entities_containers_utilization_maximum100associable_nodes_1205.png,0.7065
dashboards/k8_cluster_entities_dashboard.md,1209,"sum (container_memory_rss{origin_prometheus=~"""",container =~"".*"",container !="""",container!=""POD"",namespace=~"".*""}) by (c...",/products/data_product/observability/cpu/workflow/workflow_aggregates_states_time_slices_type.png,0.6835
dashboards/k8_cluster_entities_dashboard.md,1241,These PromQL queries measure network bandwidth usage for containers in a Kubernetes cluster by: - The first query aggreg...,,0.5505
dashboards/k8_cluster_entities_dashboard.md,1267,"sum(irate(container_cpu_usage_seconds_total{origin_prometheus=~"""",container =~"".*"",container !="""",container!=""POD"",names...",/products/data_product/observability/dashboards/entities/entities_containers_utilization_maximum100associable_nodes_1205.png,0.6718
dashboards/k8_cluster_entities_dashboard.md,1291,"``` sum(container_spec_memory_limit_bytes{origin_prometheus=~"".*"", container =~"".*"", container!="""" ,container!=""POD"", na...",/products/data_product/observability/dashboards/entities/entities_microservices_container_name_overall_memory.png,0.6668
logs/lens.md,8,"# Monitor the Logs of a Lens A Lens is a non-runnable Resource in DataOS; however, during the creation of a Lens model, ...",/products/data_product/observability/status/lens/lens_lenses_dataproductinsights_explore_assets_meta.png,0.6340
logs/lens.md,12,"A Lens is a non-runnable Resource in DataOS; however, during the creation of a Lens model, a corresponding Service is au...",/products/data_product/observability/status/lens/lens_lenses_dataproductinsights_explore_assets_meta.png,0.6776
logs/monitor_workflow_logs.md,48,"time=""2025-06-12T07:24:28.683Z"" level=info msg=""Executor initialized"" deadline=""0001-01-01 00:00:00 +0000 UTC"" includeSc...",,0.4050
logs/monitor_workflow_logs.md,60,"## Monitor the logs of a Workflow using Metis UI To monitor the logs of a Workflow on the Metis Catalog UI, follow the s...",,0.4391
logs/monitor_workflow_logs.md,66,1. Open the Metis Catalog. 2. Search for the Workflow by name.,,0.5405
logs/monitor_workflow_logs.md,72,2. Search for the Workflow by name. 3. Click on the Workflow that needs to be monitored and navigate to the ‘Run History...,,0.4677
logs/monitor_workflow_logs.md,78,3. Click on the Workflow that needs to be monitored and navigate to the ‘Run History’ section. 4. Click on any run name ...,,0.4517
logs/monitor_workflow_logs.md,84,"4. Click on any run name for which you want to monitor the logs, and navigate to the ‘Physical Plan’ section. 5. Under t...",,0.5868
logs/monitor_workflow_logs.md,90,"5. Under the ‘Physical Plan’ section, click on the pod name. 6. Navigate to the pod logs section, where you can access t...",,0.5948
logs/monitor_workflow_logs.md,105,"🗣 Logs for a Workflow are available on the Operations App only while the Workflow is still in progress (e.g., in a `sche...",,0.4610
logs/monitor_workflow_logs.md,111,1. Open the Operations app. 2. Navigate to User Space → Resources → Workflow and search for the Workflow by name.,,0.4985
logs/monitor_workflow_logs.md,117,2. Navigate to User Space → Resources → Workflow and search for the Workflow by name. 3. Click on the Workflow that need...,,0.5072
logs/monitor_workflow_logs.md,123,3. Click on the Workflow that needs to be monitored and navigate to the ‘Resource Runtime’ section. 4. Click on any runt...,,0.5010
logs/monitor_service_logs.md,63,This is expected behavior for a healthy Service in DataOS. ## Monitor the logs of a Service using Metis UI To monitor th...,,0.5433
logs/monitor_service_logs.md,69,1. Open the Metis Catalog. 2. Search for the Service by name.,,0.5164
logs/monitor_service_logs.md,75,2. Search for the Service by name. 3. Click on the Service that needs to be monitored and navigate to the ‘Runtime’ sect...,,0.4685
logs/monitor_service_logs.md,81,3. Click on the Service that needs to be monitored and navigate to the ‘Runtime’ section. 4. Click on any run name for w...,,0.5866
logs/monitor_service_logs.md,101,This is expected behavior for a healthy Service in DataOS. ## Monitor the logs of a Service using the Operations app To ...,,0.4914
logs/monitor_service_logs.md,107,1. Open the Operations app. 2. Navigate to User Space → Resources → Service and search for the Service by name.,,0.4728
logs/monitor_service_logs.md,113,2. Navigate to User Space → Resources → Service and search for the Service by name. 3. Click on the Service that needs t...,,0.4788
logs/monitor_service_logs.md,119,3. Click on the Service that needs to be monitored and navigate to the ‘Resource Runtime’ section. 4. Click on any runti...,,0.4999
logs/monitor_cluster_logs.md,103,This output is typical for a Spark/SQL gateway container like Kyuubi deployed in a cluster resource. ## Monitor the logs...,,0.5169
logs/monitor_cluster_logs.md,109,1. Open the Metis Catalog. 2. Search for the Cluster by name.,,0.5205
logs/monitor_cluster_logs.md,115,2. Search for the Cluster by name. 3. Click on the Cluster that needs to be monitored and navigate to the ‘Runtime’ sect...,/products/data_product/observability/cpu/cluster/cluster_clusters_public_bqcluster_owner_tiers.png,0.6217
logs/monitor_cluster_logs.md,121,3. Click on the Cluster that needs to be monitored and navigate to the ‘Runtime’ section. Clusters | public SQ bqcluster...,/products/data_product/observability/cpu/cluster/cluster_clusters_public_bqcluster_owner_tiers.png,0.7278
logs/monitor_cluster_logs.md,141,This output is typical for a Spark/SQL gateway container like Kyuubi deployed in a cluster resource. ## Monitor the logs...,,0.5387
logs/monitor_cluster_logs.md,147,1. Open the Operations app. 2. Navigate to User Space → Resources → Cluster and search for the Cluster by name.,,0.5875
logs/monitor_cluster_logs.md,153,2. Navigate to User Space → Resources → Cluster and search for the Cluster by name. 3. Click on the Cluster that needs t...,,0.5658
logs/monitor_cluster_logs.md,159,3. Click on the Cluster that needs to be monitored and navigate to the ‘Resource Runtime’ section. 4. Click on any runti...,,0.5875
logs/depot.md,78,"No errors are present in the output, and the startup appears to be smooth and complete. ## Monitor the logs of a Depot u...",,0.5230
logs/depot.md,84,1. Open the Metis Catalog. 2. Search for the Depot by name.,,0.4726
logs/depot.md,90,2. Search for the Depot by name. 3. Click on the Depot that needs to be monitored and navigate to the ‘Runtime’ section.,,0.4918
logs/depot.md,98,"4. Click on the pod and navigate to the ‘Pod Logs’ section. In the ‘Pog Logs’ section, users can monitor the logs of the...",,0.5882
logs/depot.md,104,**Main container logs:** **`dbi` container logs:**,,0.4791
logs/depot.md,110,**`dbi` container logs:** **`dbc` container logs:**,,0.4728
logs/depot.md,121,"## Monitor the logs of a Depot using the Operations app To monitor the logs of a Depot on the Operations App, follow the...",,0.4218
logs/depot.md,127,1. Open the Operations app. 2. Navigate to User Space → Resources → Depot and search for the Depot by name.,,0.5033
logs/depot.md,133,2. Navigate to User Space → Resources → Depot and search for the Depot by name. 3. Click on the Depot that needs to be m...,,0.5361
logs/depot.md,139,3. Click on the Depot that needs to be monitored and navigate to the ‘Resource Runtime’ section. 4. Click on the runtime...,,0.4623
logs/depot.md,143,"4. Click on the runtime node for which you want to monitor the logs, and navigate to the ‘Runtime Node Logs’ section.",,0.5225
logs/monitor_worker_logs.md,267,"``` ## Monitor the logs of a Worker using Metis UI To monitor the logs of a Worker on the Metis Catalog UI, follow the s...",,0.5146
logs/monitor_worker_logs.md,273,1. Open the Metis Catalog. 2. Search for the Worker by name.,,0.4532
logs/monitor_worker_logs.md,279,2. Search for the Worker by name. 3. Click on the Worker that needs to be monitored and navigate to the ‘Runtime’ sectio...,,0.4965
logs/monitor_worker_logs.md,285,3. Click on the Worker that needs to be monitored and navigate to the ‘Runtime’ section. 4. Click on any pod name for wh...,,0.5777
logs/monitor_worker_logs.md,301,"🗣 Logs for a Worker are available on the Operations App only while the Workflow is still in progress (e.g., in a `schedu...",,0.4862
logs/monitor_worker_logs.md,307,1. Open the Operations app. 2. Navigate to User Space → Resources → Worker and search for the Worker by name.,,0.5507
logs/monitor_worker_logs.md,313,2. Navigate to User Space → Resources → Worker and search for the Worker by name. 3. Click on the Worker that needs to b...,,0.5458
logs/monitor_worker_logs.md,319,3. Click on the Worker that needs to be monitored and navigate to the ‘Resource Runtime’ section. 4. Click on any runtim...,,0.4938
cpu/monitor_depot_cpu_memory.md,27,"To avoid unintended job termination, especially for critical workload, it's recommended to omit hard limits when the exa...",,0.5724
cpu/monitor_depot_cpu_memory.md,31,## **Monitor the CPU and memory usage of a Depot using Metis UI** To monitor the CPU and memory usage of a Depot on the ...,,0.5101
cpu/monitor_depot_cpu_memory.md,35,1. Open the Metis Catalog. ![image.png](attachment:1763d314-f178-47da-89d9-9f60b4bd9189:image.png) 2. Search for the Dep...,,0.4674
cpu/monitor_depot_cpu_memory.md,39,2. Search for the Depot by name. ![image.png](attachment:2a2770ba-b808-472a-826b-3d2fc08eb04f:image.png) 3. Click on the...,/products/data_product/observability/dashboards/entities/entities_resource_overview_selectedpod_consuming_pods.png,0.6075
cpu/monitor_depot_cpu_memory.md,43,3. Click on the Depot that needs to be monitored and navigate to the ‘Runtime’ section. ![image.png](attachment:735e1135...,/products/data_product/observability/dashboards/entities/entities_resource_overview_selectedpod_consuming_pods.png,0.8226
cpu/monitor_depot_cpu_memory.md,53,v Pod Resource Overview - SelectedPod: [All] Top 10 CPU Consuming Pods @ Poros-coltation-worker-pocs-° LCCC. LL 17.3%......,/products/data_product/observability/dashboards/entities/entities_resource_overview_selectedpod_consuming_pods.png,0.8489
cpu/monitor_depot_cpu_memory.md,63,v Pod Resource Overview - SelectedPod: [All] Top 10 CPU Consuming Pods @ Poros-coltation-worker-pocs-° LCCC. LL 17.3%......,/products/data_product/observability/dashboards/entities/entities_resource_overview_selectedpod_consuming_pods.png,0.8078
cpu/monitor_depot_cpu_memory.md,90,"## **Monitor the CPU and memory usage of a Depot using the Operations App** When a Depot Resource is created, a correspo...",,0.5858
cpu/monitor_depot_cpu_memory.md,94,"When a Depot Resource is created, a corresponding pod is automatically provisioned in the backend. You can monitor the C...",/products/data_product/observability/dashboards/entities/entities_resource_overview_selectedpod_consuming_pods.png,0.6231
